0114241,"Reckless ",1995,"Norman René", "5.2"
0114268,"Rent-a-Kid ",TV Movie 1995,"Fred Gerber", "5.5"
0114272,"Restoration ",1995,"Michael Hoffman", "6.7"
0114279,"Richard III ",1995,"Richard Loncraine", "7.5"
0114287,"Rob Roy ",1995,"Michael Caton-Jones", "6.9"
0114296,"Roommates ",1995,"Peter Yates", "6.4"
0114319,"Sabrina ",1995,"Sydney Pollack", "6.3"
0114323,"Safe ",1995,"Todd Haynes", "7.2"
0114345,"The Scarlet Letter ",1995,"Roland Joffé", "5.2"
0114367,"Screamers ",1995,"Christian Duguay", "6.4"
0114369,"Se7en ",1995,"David Fincher", "8.6"
0114388,"Sense and Sensibility ",1995,"Ang Lee", "7.7"
0114435,"The Show ",1995,"Brian Robbins", "6.8"
0114436,"Showgirls ",1995,"Paul Verhoeven", "4.7"
0114478,"Smoke ",1995,"Wayne Wang, Paul Auster", "7.4"
0114496,"Something to Talk About ",1995,"Lasse Hallström", "5.7"
0114500,"Sonic Outlaws ",1995,"Craig Baldwin", "7.4"
0114508,"Species ",1995,"Roger Donaldson", "5.8"
0114534,"The Stars Fell on Henrietta ",1995,"James Keach", "6.5"
0114536,"Steal Big Steal Little ",1995,"Andrew Davis", "4.9"
0114558,"Strange Days ",1995,"Kathryn Bigelow", "7.2"
0114571,"Stuart Saves His Family ",1995,"Harold Ramis", "5.3"
0114576,"Sudden Death ",1995,"Peter Hyams", "5.7"
0114660,"Things to Do in Denver When You're Dead ",1995,"Gary Fleder", "6.8"
0114663,"Three Wishes ",1995,"Martha Coolidge", "6.2"
0114666,"The Tie That Binds ",1995,"Wesley Strick", "5.0"
0114681,"To Die For ",1995,"Gus Van Sant", "6.8"
0114682,"To Wong Foo Thanks for Everything, Julie Newmar ",1995,"Beeban Kidron", "6.5"
0114702,"Total Eclipse ",1995,"Agnieszka Holland", "6.6"
0114709,"Toy Story ",1995,"John Lasseter", "8.3"
0114746,"Twelve Monkeys ",1995,"Terry Gilliam", "8.0"
0114753,"Two Bits ",1995,"James Foley", "6.3"
0114781,"Under Siege 2: Dark Territory ",1995,"Geoff Murphy", "5.5"
0114798,"Unstrung Heroes ",1995,"Diane Keaton", "6.7"
0114805,"Unzipped ",1995,"Douglas Keeve", "6.4"
0114808,"L'uomo delle stelle ",1995,"Giuseppe Tornatore", "7.4"
0114814,"The Usual Suspects ",1995,"Bryan Singer", "8.6"
0114825,"Vampire in Brooklyn ",1995,"Wes Craven", "4.5"
0114885,"Waiting to Exhale ",1995,"Forest Whitaker", "5.8"
0114887,"A Walk in the Clouds ",1995,"Alfonso Arau", "6.7"
0114898,"Waterworld ",1995,"Kevin Reynolds", "6.2"
0114916,"When Night Is Falling ",1995,"Patricia Rozema", "6.6"
